50-year and 100-year average accumulation rates,,,,
,,,,
Age (years before 1950 on WD2014),Advection-correction accumulation rate (ice eq.),,Age (years before 1950 on WD2014),Advection-correction accumulation rate (ice eq.)
5250,0.252929144,,10500,0.176679141
5300,0.237312426,,10600,0.181540236
5350,0.248734381,,10700,0.176949117
5400,0.248432159,,10800,0.187639511
5450,0.23172422,,10900,0.189569556
5500,0.240373719,,11000,0.191659424
5550,0.242823801,,11100,0.19239155
5600,0.237807778,,11200,0.203016347
5650,0.234028485,,11300,0.207667136
5700,0.232600106,,11400,0.217270151
5750,0.23001032,,11500,0.234981932
5800,0.223131175,,11600,0.218370753
5850,0.227323799,,11700,0.204745825
5900,0.219242816,,11800,0.187738582
5950,0.214239996,,11900,0.175016271
6000,0.222465892,,12000,0.171720659
6050,0.22536532,,12100,0.177057255
6100,0.218188143,,12200,0.173475199
6150,0.215576376,,12300,0.186199995
6200,0.222375083,,12400,0.176544114
6250,0.227729053,,12500,0.186373356
6300,0.215208908,,12600,0.177443921
6350,0.219627595,,12700,0.184452059
6400,0.22532889,,12800,0.196502209
6450,0.223463059,,12900,0.201450892
6500,0.225099837,,13000,0.20560527
6550,0.22579045,,13100,0.206282385
6600,0.228425849,,13200,0.195920501
6650,0.222132809,,13300,0.197300889
6700,0.218428956,,13400,0.194499913
6750,0.221378092,,13500,0.202984758
6800,0.215268437,,13600,0.209437668
6850,0.221687336,,13700,0.203686859
6900,0.211189787,,13800,0.193308071
6950,0.217312866,,13900,0.189498978
7000,0.22412259,,14000,0.189793268
7050,0.213085822,,14100,0.191401341
7100,0.202874535,,14200,0.196052868
7150,0.197885669,,14300,0.196548004
7200,0.20239211,,14400,0.207880928
7250,0.19995274,,14500,0.208683711
7300,0.196185425,,14600,0.206318189
7350,0.194064222,,14700,0.206305126
7400,0.187190006,,14800,0.198902184
7450,0.195616036,,14900,0.196478308
7500,0.198105291,,15000,0.192523969
7550,0.196545275,,15100,0.19070675
7600,0.201165675,,15200,0.199835801
7650,0.196964862,,15300,0.193313193
7700,0.192814934,,15400,0.180947423
7750,0.193029584,,15500,0.173849437
7800,0.198985715,,15600,0.172759736
7850,0.189860895,,15700,0.164583662
7900,0.19576249,,15800,0.157854638
7950,0.194918218,,15900,0.173039258
8000,0.193737276,,16000,0.145725673
8050,0.194952957,,16100,0.145614453
8100,0.198694049,,16200,0.130861794
8150,0.198558214,,16300,0.135192341
8200,0.194591702,,16400,0.126859895
8250,0.197515246,,16500,0.121008813
8300,0.196188612,,16600,0.132043426
8350,0.18798734,,16700,0.122145951
8400,0.182863962,,16800,0.112984777
8450,0.191534051,,16900,0.120452831
8500,0.177463868,,17000,0.109930711
8550,0.188547725,,17100,0.103245303
8600,0.188739088,,17200,0.102326906
8650,0.182928149,,17300,0.097520677
8700,0.185582906,,17400,0.099605562
8750,0.189278401,,17500,0.098684563
8800,0.188300992,,17600,0.09298153
8850,0.181182709,,17700,0.095108901
8900,0.179471369,,17800,0.094562422
8950,0.179503447,,17900,0.09525208
9000,0.17887513,,18000,0.091494403
9050,0.176753923,,18100,0.092234376
9100,0.174653297,,18200,0.083449373
9150,0.173612599,,18300,0.081686522
9200,0.16965669,,18400,0.084726989
9250,0.172628544,,18500,0.084263219
9300,0.178212033,,18600,0.083933339
9350,0.17055734,,18700,0.08182358
9400,0.178012378,,18800,0.085300505
9450,0.181405905,,18900,0.083109686
9500,0.184108626,,19000,0.081300758
9550,0.185299688,,19100,0.083784644
9600,0.181329793,,19200,0.081414088
9650,0.179112619,,19300,0.081971377
9700,0.175249199,,19400,0.084432332
9750,0.187672316,,19500,0.08870102
9800,0.175245419,,19600,0.085023828
9850,0.17710519,,19700,0.088935438
9900,0.177245206,,19800,0.083460023
9950,0.183250463,,19900,0.083114623
10000,0.17154491,,20000,0.09231347
10050,0.180670339,,20100,0.083830166
10100,0.177266709,,20200,0.087801366
10150,0.172316831,,20300,0.087764081
10200,0.180044639,,20400,0.089076248
10250,0.175947777,,20500,0.085665727
10300,0.173992933,,20600,0.093836112
10350,0.180966119,,20700,0.092273842
10400,0.180569665,,20800,0.090456592
10450,0.177213405,,20900,0.086981391
10500,0.178499704,,21000,0.082901542
10550,0.178677403,,21100,0.084640828
10600,0.185596106,,21200,0.08488844
10650,0.179201315,,21300,0.082306739
10700,0.171033615,,21400,0.080081572
10750,0.184364105,,21500,0.083409613
10800,0.189214593,,21600,0.08421728
10850,0.187040504,,21700,0.082861922
10900,0.192299019,,21800,0.085847101
10950,0.182496535,,21900,0.086105149
11000,0.196294064,,22000,0.082217633
11050,0.190505286,,22100,0.085364298
11100,0.197477351,,22200,0.083726959
11150,0.196130368,,22300,0.089680246
11200,0.197988322,,22400,0.086217757
11250,0.206101084,,22500,0.08804255
11300,0.216292745,,22600,0.08661588
11350,0.21045757,,22700,0.090520703
11400,0.214650998,,22800,0.090279904
11450,0.217501703,,22900,0.084414501
11500,0.243351737,,23000,0.091969319
11550,0.22775525,,23100,0.085380176
11600,0.218373921,,23200,0.085668111
11650,0.212356697,,23300,0.086032505
11700,0.201556165,,23400,0.086675328
11750,0.194995211,,23500,0.083769565
11800,0.190914108,,23600,0.090850782
11850,0.182149633,,23700,0.091120902
11900,0.173288582,,23800,0.090277888
11950,0.171718771,,23900,0.092971409
12000,0.174310254,,24000,0.094225991
12050,0.174738092,,24100,0.091507991
12100,0.1782321,,24200,0.094501282
12150,0.176333412,,24300,0.100450157
12200,0.173620508,,24400,0.096601488
12250,0.177540487,,24500,0.098031264
12300,0.182179462,,24600,0.102899533
12350,0.186259273,,24700,0.10597565
12400,0.174672843,,24800,0.101059907
12450,0.18221014,,24900,0.109519675
12500,0.187171501,,25000,0.107878316
12550,0.17685039,,25100,0.108726972
12600,0.182595143,,25200,0.110434424
12650,0.180599338,,25300,0.106282059
12700,0.180665198,,25400,0.107019694
12750,0.195384782,,25500,0.103449071
12800,0.194676559,,25600,0.104775788
12850,0.198526888,,25700,0.103715938
12900,0.199199539,,25800,0.105824735
12950,0.205642387,,25900,0.104329238
13000,0.210675158,,26000,0.105068841
13050,0.200689077,,26100,0.106628225
13100,0.215059238,,26200,0.108558387
13150,0.192891055,,26300,0.111531674
13200,0.190461182,,26400,0.113825171
13250,0.205445866,,26500,0.1098909
13300,0.189680413,,26600,0.115760106
13350,0.197765141,,26700,0.113492697
13400,0.193760446,,26800,0.114088027
13450,0.197377306,,26900,0.115697541
13500,0.202234469,,27000,0.115941222
13550,0.20646988,,27100,0.112371188
13600,0.208362679,,27200,0.117700038
13650,0.212330174,,27300,0.121288477
13700,0.207787474,,27400,0.124245476
13750,0.196418541,,27500,0.126613352
13800,0.196512318,,27600,0.130760598
13850,0.185120953,,27700,0.132594824
13900,0.191486442,,27800,0.126199227
13950,0.187862566,,27900,0.13036418
14000,0.191082709,,28000,0.126861014
14050,0.192808969,,28100,0.127657151
14100,0.185455325,,28200,0.136154532
14150,0.201695363,,28300,0.134177223
14200,0.193080711,,28400,0.129541663
14250,0.196552592,,28500,0.123413449
14300,0.193749924,,28600,0.122722287
14350,0.203193906,,28700,0.123876614
14400,0.203430771,,28800,0.125177317
14450,0.222664293,,28900,0.117166069
14500,0.204120382,,29000,0.114908581
14550,0.199845661,,29100,0.125721456
14600,0.211223375,,29200,0.123017622
14650,0.204132061,,29300,0.122964409
14700,0.206165391,,29400,0.12186029
14750,0.200772081,,29500,0.116413171
14800,0.196730615,,29600,0.123903704
14850,0.203447856,,29700,0.114017964
14900,0.197513975,,29800,0.117018262
14950,0.193488442,,29900,0.116373074
15000,0.192050866,,30000,0.117968402
15050,0.18799982,,30100,0.106371009
15100,0.191787827,,30200,0.108904898
15150,0.191832461,,30300,0.108115023
15200,0.200432467,,30400,0.102477755
15250,0.204860027,,30500,0.105789418
15300,0.188735997,,30600,0.109483036
15350,0.190888759,,30700,0.108726754
15400,0.184823091,,30800,0.108534521
15450,0.170001866,,30900,0.109266501
15500,0.173102992,,31000,0.104338704
15550,0.176131008,,31100,0.101512035
15600,0.17389594,,31200,0.105822469
15650,0.158846138,,31300,0.099669992
15700,0.168139024,,31400,0.0977
15750,0.164378694,,31500,0.09618
15800,0.148004378,,31600,0.09572
15850,0.175957713,,31700,0.0958
15900,0.176466021,,31800,0.09934
15950,0.152275529,,31900,0.10208
16000,0.147340489,,32000,0.10101
16050,0.148769199,,32100,0.1018
16100,0.144111009,,32200,0.10445
16150,0.145835561,,32300,0.1094
16200,0.127704174,,32400,0.11505
16250,0.12747558,,32500,0.11568
16300,0.137007066,,32600,0.11406
16350,0.132631149,,32700,0.11813
16400,0.123020785,,32800,0.12197
16450,0.125593348,,32900,0.11977
16500,0.122496939,,33000,0.12098
16550,0.12228523,,33100,0.11898
16600,0.133592877,,33200,0.11553
16650,0.131092175,,33300,0.11819
16700,0.118867498,,33400,0.12007
16750,0.114597567,,33500,0.12206
16800,0.112882694,,33600,0.12667
16850,0.119606682,,33700,0.13114
16900,0.124555777,,33800,0.1293
16950,0.112702816,,33900,0.12819
17000,0.113712402,,34000,0.12579
17050,0.098313687,,34100,0.12563
17100,0.109871909,,34200,0.12609
17150,0.098709526,,34300,0.12708
17200,0.102465133,,34400,0.12742
17250,0.102093945,,34500,0.12207
17300,0.09569962,,34600,0.12037
17350,0.094850696,,34700,0.12197
17400,0.104357307,,34800,0.12129
17450,0.096456277,,34900,0.12379
17500,0.098113115,,35000,0.12717
17550,0.098790589,,35100,0.13236
17600,0.095675161,,35200,0.13614
17650,0.0836953,,35300,0.13699
17700,0.096327266,,35400,0.14344
17750,0.101589573,,35500,0.15327
17800,0.094051397,,35600,0.1614
17850,0.094312152,,35700,0.1554
17900,0.095396476,,35800,0.15661
17950,0.093063261,,35900,0.15462
18000,0.096605075,,36000,0.15854
18050,0.085846934,,36100,0.15519
18100,0.096613302,,36200,0.15229
18150,0.083368518,,36300,0.15383
18200,0.086752306,,36400,0.14325
18250,0.082068695,,36500,0.13273
18300,0.082542856,,36600,0.12935
18350,0.080987185,,36700,0.12862
18400,0.083914351,,36800,0.1295
18450,0.084355667,,36900,0.12867
18500,0.08538408,,37000,0.12626
18550,0.080607987,,37100,0.12623
18600,0.08836181,,37200,0.12814
18650,0.080452642,,37300,0.1308
18700,0.084321405,,37400,0.13209
18750,0.079782862,,37500,0.13467
18800,0.087499573,,37600,0.13709
18850,0.084327456,,37700,0.14253
18900,0.081021698,,37800,0.14696
18950,0.084323626,,37900,0.14818
19000,0.082863366,,38000,0.15368
19050,0.080691235,,38100,0.16456
19100,0.08624407,,38200,0.174
19150,0.079828406,,38300,0.1803
19200,0.081706241,,38400,0.17685
19250,0.079788705,,38500,0.17839
19300,0.082869754,,38600,0.18406
19350,0.084452472,,38700,0.18969
19400,0.082843511,,38800,0.18673
19450,0.091270748,,38900,0.18216
19500,0.084017714,,39000,0.18006
19550,0.088297437,,39100,0.17893
19600,0.081630065,,39200,0.18142
19650,0.089018659,,39300,0.18026
19700,0.090776212,,39400,0.17607
19750,0.085711493,,39500,0.16722
19800,0.083987217,,39600,0.16672
19850,0.084251776,,39700,0.16535
19900,0.082291683,,39800,0.15948
19950,0.083106624,,39900,0.15786
20000,0.096784894,,40000,0.1568
20050,0.087309905,,40100,0.15829
20100,0.084249501,,40200,0.15909
20150,0.08480984,,40300,0.15502
20200,0.085098459,,40400,0.15357
20250,0.092346666,,40500,0.15607
20300,0.08867722,,40600,0.15669
20350,0.083410358,,40700,0.15564
20400,0.088250061,,40800,0.15157
20450,0.091439814,,40900,0.14954
20500,0.085246213,,41000,0.14755
20550,0.090014026,,41100,0.14385
20600,0.095334676,,41200,0.14395
20650,0.090576885,,41300,0.14607
20700,0.091028315,,41400,0.15639
20750,0.096017888,,41500,0.16074
20800,0.089402056,,41600,0.16161
20850,0.088995895,,41700,0.15952
20900,0.085368696,,41800,0.16496
20950,0.085932198,,41900,0.16813
21000,0.081193528,,42000,0.16306
21050,0.081914856,,42100,0.15757
21100,0.086750836,,42200,0.15352
21150,0.084126174,,42300,0.15033
21200,0.08901531,,42400,0.15343
21250,0.083638146,,42500,0.15691
21300,0.082476611,,42600,0.15699
21350,0.07681738,,42700,0.15882
21400,0.082590907,,42800,0.16162
21450,0.078763607,,42900,0.16587
21500,0.083656531,,43000,0.167
21550,0.085584266,,43100,0.17149
21600,0.085667766,,43200,0.17237
21650,0.082429794,,43300,0.17799
21700,0.084069165,,43400,0.18178
21750,0.086267965,,43500,0.17589
21800,0.079610693,,43600,0.17653
21850,0.08718191,,43700,0.1754
21900,0.088779521,,43800,0.16858
21950,0.081486462,,43900,0.16454
22000,0.082813623,,44000,0.16507
22050,0.082798195,,44100,0.16207
22100,0.084854781,,44200,0.15605
22150,0.083697118,,44300,0.15273
22200,0.083423603,,44400,0.15056
22250,0.08483181,,44500,0.15438
22300,0.091998492,,44600,0.16013
22350,0.08967052,,44700,0.16006
22400,0.085589807,,44800,0.15978
22450,0.089350451,,44900,0.16119
22500,0.086153776,,45000,0.15924
22550,0.08873303,,45100,0.1584
22600,0.085375645,,45200,0.16435
22650,0.092382593,,45300,0.16683
22700,0.08815345,,45400,0.17075
22750,0.092073675,,45500,0.17699
22800,0.089245108,,45600,0.17799
22850,0.085892955,,45700,0.17984
22900,0.083897789,,45800,0.18499
22950,0.08809443,,45900,0.19027
23000,0.094823525,,46000,0.19377
23050,0.087005832,,46100,0.19776
23100,0.083716445,,46200,0.20214
23150,0.08817349,,46300,0.20261
23200,0.086732114,,46400,0.2026
23250,0.082036072,,46500,0.20583
23300,0.089070249,,46600,0.21168
23350,0.085851833,,46700,0.21597
23400,0.087895286,,46800,0.22167
23450,0.082606207,,46900,0.22625
23500,0.085905711,,47000,0.22162
23550,0.086659897,,47100,0.21762
23600,0.089256741,,47200,0.21275
23650,0.089677657,,47300,0.20622
23700,0.093792446,,47400,0.19935
23750,0.090066439,,47500,0.19973
23800,0.088448593,,47600,0.19767
23850,0.094528306,,47700,0.19532
23900,0.093353442,,47800,0.19485
23950,0.091987162,,47900,0.19614
24000,0.093785286,,48000,0.19061
24050,0.097151116,,48100,0.18285
24100,0.089342615,,48200,0.17872
24150,0.092038975,,48300,0.17361
24200,0.094489732,,48400,0.1676
24250,0.09390019,,48500,0.16242
24300,0.101298638,,48600,0.16086
24350,0.103209933,,48700,0.16278
24400,0.09832217,,48800,0.16315
24450,0.091094094,,48900,0.16381
24500,0.099463702,,49000,0.16722
24550,0.102584679,,49100,0.17204
24600,0.099730567,,49200,0.17297
24650,0.103392898,,49300,0.17512
24700,0.106384376,,49400,0.1756
24750,0.102155867,,49500,0.17428
24800,0.098860195,,49600,0.16861
24850,0.108798944,,49700,0.16353
24900,0.109707106,,49800,0.16425
24950,0.113111111,,49900,0.16319
25000,0.104536271,,50000,0.16735
25050,0.105592648,,50100,0.16809
25100,0.111237244,,50200,0.16003
25150,0.106990467,,50300,0.16078
25200,0.113200427,,50400,0.16603
25250,0.108647421,,50500,0.16701
25300,0.106452473,,50600,0.16556
25350,0.109477005,,50700,0.16437
25400,0.101035014,,50800,0.1644
25450,0.106088705,,50900,0.16447
25500,0.104499364,,51000,0.16706
25550,0.104621743,,51100,0.16915
25600,0.106563716,,51200,0.16622
25650,0.105500609,,51300,0.16353
25700,0.105057163,,51400,0.16284
25750,0.102852912,,51500,0.16307
25800,0.105838086,,51600,0.16109
25850,0.102612262,,51700,0.16199
25900,0.103647289,,51800,0.1627
25950,0.105916001,,51900,0.16322
26000,0.104204607,,52000,0.16291
26050,0.106874619,,52100,0.16392
26100,0.109288369,,52200,0.16846
26150,0.104202574,,52300,0.17286
26200,0.107978349,,52400,0.17566
26250,0.108750353,,52500,0.17525
26300,0.112403043,,52600,0.1753
26350,0.117191083,,52700,0.17924
26400,0.113484195,,52800,0.18137
26450,0.112370849,,52900,0.18513
26500,0.110208824,,53000,0.19191
26550,0.107502155,,53100,0.194
26600,0.117363715,,53200,0.1932
26650,0.115068587,,53300,0.19447
26700,0.112402964,,53400,0.19687
26750,0.116684399,,53500,0.19909
26800,0.112520821,,53600,0.19962
26850,0.116738118,,53700,0.20267
26900,0.114577235,,53800,0.20849
26950,0.119347346,,53900,0.2143
27000,0.114913962,,54000,0.2149
27050,0.107773614,,54100,0.21898
27100,0.112185411,,54200,0.21928
27150,0.120195323,,54300,0.21715
27200,0.118086593,,54400,0.20972
27250,0.11546909,,54500,0.20742
27300,0.125196752,,54600,0.20619
27350,0.124253653,,54700,0.20352
27400,0.122758443,,54800,0.1991
27450,0.124901739,,54900,0.19675
27500,0.118841991,,55000,0.19354
27550,0.135384746,,55100,0.19174
27600,0.130026316,,55200,0.18783
27650,0.134828101,,55300,0.18175
27700,0.13652474,,55400,0.17611
27750,0.124459536,,55500,0.17591
27800,0.121176174,,55600,0.17648
27850,0.132711905,,55700,0.18089
27900,0.128798716,,55800,0.1846
27950,0.126946846,,55900,0.18321
28000,0.13080453,,56000,0.18066
28050,0.123291437,,56100,0.17414
28100,0.130210306,,56200,0.16845
28150,0.135334912,,56300,0.16332
28200,0.137508771,,56400,0.16039
28250,0.13004239,,56500,0.15746
28300,0.13470048,,56600,0.15338
28350,0.135368007,,56700,0.152
28400,0.130251818,,56800,0.15324
28450,0.123587958,,56900,0.15264
28500,0.120887629,,57000,0.15423
28550,0.125797891,,57100,0.15692
28600,0.118755499,,57200,0.15758
28650,0.126643243,,57300,0.15602
28700,0.119499485,,57400,0.16009
28750,0.124746775,,57500,0.16497
28800,0.125950362,,57600,0.16518
28850,0.130496688,,57700,0.16697
28900,0.110691415,,57800,0.17314
28950,0.11473653,,57900,0.17915
29000,0.113159299,,58000,0.18267
29050,0.123808972,,58100,0.18583
29100,0.128724016,,58200,0.187
29150,0.119939387,,58300,0.18857
29200,0.122315955,,58400,0.19217
29250,0.129117809,,58500,0.19308
29300,0.118830858,,58600,0.18773
29350,0.120365994,,58700,0.18081
29400,0.122198411,,58800,0.17933
29450,0.11841588,,58900,0.19069
29500,0.117527642,,59000,0.20289
29550,0.115801008,,59100,0.21017
29600,0.122543085,,59200,0.21823
29650,0.130868847,,59300,0.21448
29700,0.109383886,,59400,0.20372
29750,0.115296072,,59500,0.20562
29800,0.115896083,,59600,0.21621
29850,0.109246301,,59700,0.21855
29900,0.121608224,,59800,0.21402
29950,0.119778783,,59900,0.21128
30000,0.118510694,,60000,0.21047
30050,0.109695096,,60100,0.20849
30100,0.109903542,,60200,0.20505
30150,0.105219103,,60300,0.20352
30200,0.111449572,,60400,0.20305
30250,0.104369883,,60500,0.20104
30300,0.113386468,,60600,0.19767
30350,0.103568682,,60700,0.19619
30400,0.10043748,,60800,0.19639
30450,0.104191904,,60900,0.19724
30500,0.107184964,,61000,0.19555
30550,0.101285999,,61100,0.19282
30600,0.116538398,,61200,0.18957
30650,0.1092433,,61300,0.18932
30700,0.109277422,,61400,0.18753
30750,0.108633569,,61500,0.18621
30800,0.10787628,,61600,0.18763
30850,0.105394469,,61700,0.1877
30900,0.110346836,,61800,0.18841
30950,0.108644818,,61900,0.1892
31000,0.099560183,,62000,0.18791
31050,0.105301275,,62100,0.1869
31100,0.102249533,,62200,0.18592
31150,0.102686888,,62300,0.18443
31200,0.101457626,,62400,0.18305
31250,0.109190821,,62500,0.18074
31300,0.09967,,62600,0.17805
31350,0.09796,,62700,0.17416
31400,0.09822,,62800,0.17043
31450,0.09659,,62900,0.16865
31500,0.09598,,63000,0.16728
31550,0.0962,,63100,0.16631
31600,0.09566,,63200,0.16363
31650,0.096,,63300,0.1587
31700,0.0951,,63400,0.15533
31750,0.09745,,63500,0.15062
31800,0.09958,,63600,0.14871
31850,0.10046,,63700,0.14721
31900,0.10281,,63800,0.14349
31950,0.10112,,63900,0.14314
32000,0.10087,,64000,0.14204
32050,0.1018,,64100,0.14206
32100,0.10172,,64200,0.14529
32150,0.10292,,64300,0.1507
32200,0.10461,,64400,0.15935
32250,0.10546,,64500,0.16381
32300,0.10949,,64600,0.16546
32350,0.11289,,64700,0.16616
32400,0.11514,,64800,0.1652
32450,0.11635,,64900,0.16246
32500,0.11602,,65000,0.1584
32550,0.11399,,65100,0.15547
32600,0.11386,,65200,0.15389
32650,0.11553,,65300,0.15285
32700,0.11783,,65400,0.15454
32750,0.12139,,65500,0.15624
32800,0.12231,,65600,0.15813
32850,0.12078,,65700,0.15744
32900,0.11951,,65800,0.15691
32950,0.11961,,65900,0.15789
33000,0.12102,,66000,0.15799
33050,0.12161,,66100,0.15731
33100,0.11901,,66200,0.15391
33150,0.11645,,66300,0.15189
33200,0.11554,,66400,0.15183
33250,0.11576,,66500,0.15197
33300,0.11859,,66600,0.15117
33350,0.1195,,66700,0.14793
33400,0.12038,,66800,0.14205
33450,0.11976,,66900,0.13968
33500,0.12244,,67000,0.13845
33550,0.12406,,67100,0.13973
33600,0.12692,,67200,0.1449
33650,0.12907,,67300,0.14879
33700,0.13151,,67400,0.15076
33750,0.13115,,67500,0.15011
33800,0.12918,,67600,0.14466
33850,0.12864,,67700,0.13875
33900,0.12811,,,
33950,0.12714,,,
34000,0.12562,,,
34050,0.12568,,,
34100,0.12518,,,
34150,0.12622,,,
34200,0.12603,,,
34250,0.12643,,,
34300,0.12699,,,
34350,0.12787,,,
34400,0.12746,,,
34450,0.12574,,,
34500,0.12186,,,
34550,0.1198,,,
34600,0.12013,,,
34650,0.12187,,,
34700,0.12213,,,
34750,0.1211,,,
34800,0.12091,,,
34850,0.12217,,,
34900,0.12447,,,
34950,0.12446,,,
35000,0.12726,,,
35050,0.12964,,,
35100,0.13233,,,
35150,0.13527,,,
35200,0.13647,,,
35250,0.13585,,,
35300,0.1371,,,
35350,0.13923,,,
35400,0.14296,,,
35450,0.14868,,,
35500,0.15272,,,
35550,0.15825,,,
35600,0.16267,,,
35650,0.1594,,,
35700,0.15457,,,
35750,0.1555,,,
35800,0.15737,,,
35850,0.15532,,,
35900,0.15409,,,
35950,0.15631,,,
36000,0.15863,,,
36050,0.15906,,,
36100,0.15484,,,
36150,0.15306,,,
36200,0.15124,,,
36250,0.15352,,,
36300,0.15438,,,
36350,0.15115,,,
36400,0.14326,,,
36450,0.13571,,,
36500,0.13232,,,
36550,0.13074,,,
36600,0.12943,,,
36650,0.12842,,,
36700,0.12868,,,
36750,0.12918,,,
36800,0.12972,,,
36850,0.12949,,,
36900,0.12888,,,
36950,0.12713,,,
37000,0.12635,,,
37050,0.12545,,,
37100,0.12633,,,
37150,0.12723,,,
37200,0.12785,,,
37250,0.1301,,,
37300,0.13121,,,
37350,0.13058,,,
37400,0.13215,,,
37450,0.13316,,,
37500,0.13471,,,
37550,0.13587,,,
37600,0.13647,,,
37650,0.14014,,,
37700,0.14245,,,
37750,0.14541,,,
37800,0.14704,,,
37850,0.14708,,,
37900,0.14852,,,
37950,0.14933,,,
38000,0.15364,,,
38050,0.15892,,,
38100,0.16512,,,
38150,0.16877,,,
38200,0.17447,,,
38250,0.1785,,,
38300,0.18106,,,
38350,0.17813,,,
38400,0.1766,,,
38450,0.17707,,,
38500,0.17886,,,
38550,0.18043,,,
38600,0.1839,,,
38650,0.18812,,,
38700,0.1898,,,
38750,0.18965,,,
38800,0.18635,,,
38850,0.18359,,,
38900,0.18199,,,
38950,0.18116,,,
39000,0.17996,,,
39050,0.17915,,,
39100,0.17809,,,
39150,0.18118,,,
39200,0.18119,,,
39250,0.18173,,,
39300,0.17952,,,
39350,0.18038,,,
39400,0.17581,,,
39450,0.17159,,,
39500,0.1663,,,
39550,0.16575,,,
39600,0.16701,,,
39650,0.16713,,,
39700,0.16591,,,
39750,0.16182,,,
39800,0.15958,,,
39850,0.15758,,,
39900,0.15822,,,
39950,0.15708,,,
40000,0.15674,,,
40050,0.15642,,,
40100,0.15839,,,
