# Age in kyr / T in °C
58	-38.979333
58.2	-38.959202
58.4	-39.160596
58.6	-39.147733
58.8	-40.334489
59	-38.092418
59.2	-37.536347
59.4	-39.032026
59.6	-37.49894
59.8	-38.040487
60	-38.299633
60.2	-39.108069
60.4	-38.209757
60.6	-38.531133
60.8	-38.726066
61	-39.079573
61.2	-39.284872
61.4	-39.386243
61.6	-39.954266
61.8	-39.090954
62	-39.755159
62.2	-39.732827
62.4	-40.262728
62.6	-40.66652
62.8	-41.103595
63	-41.194117
63.2	-41.595093
63.4	-42.816614
63.6	-42.43911
63.8	-42.416827
64	-42.726337
64.2	-43.302889
64.4	-41.643918
64.6	-41.79572
64.8	-41.285905
65	-41.940468
65.2	-42.652178
65.4	-42.036364
65.6	-41.769999
65.8	-41.862156
66	-41.198737
66.2	-42.364615
66.4	-41.990454
66.6	-42.315227
66.8	-42.037999
67	-42.986412
67.2	-43.095286
67.4	-42.572526
67.6	-43.40722
